dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
7/6/2020,7,6,2020,983,16,Argentina,AR,ARG,44780675,America,23.82054312
6/6/2020,6,6,2020,1769,44,Argentina,AR,ARG,44780675,America,23.19750651
5/6/2020,5,6,2020,0,5,Argentina,AR,ARG,44780675,America,20.85051197
4/6/2020,4,6,2020,949,14,Argentina,AR,ARG,44780675,America,22.29756474
3/6/2020,3,6,2020,904,13,Argentina,AR,ARG,44780675,America,21.23683933
2/6/2020,2,6,2020,564,17,Argentina,AR,ARG,44780675,America,20.19621187
1/6/2020,1,6,2020,637,11,Argentina,AR,ARG,44780675,America,20.20067808
31/05/2020,31,5,2020,795,8,Argentina,AR,ARG,44780675,America,18.77818948
30/05/2020,30,5,2020,717,12,Argentina,AR,ARG,44780675,America,17.7308627
29/05/2020,29,5,2020,769,8,Argentina,AR,ARG,44780675,America,16.90014722
28/05/2020,28,5,2020,705,16,Argentina,AR,ARG,44780675,America,15.75233066
27/05/2020,27,5,2020,600,17,Argentina,AR,ARG,44780675,America,14.88365238
26/05/2020,26,5,2020,552,15,Argentina,AR,ARG,44780675,America,14.72510184
25/05/2020,25,5,2020,723,7,Argentina,AR,ARG,44780675,America,14.03953826
24/05/2020,24,5,2020,704,12,Argentina,AR,ARG,44780675,America,12.45403291
23/05/2020,23,5,2020,718,17,Argentina,AR,ARG,44780675,America,11.2503887
22/05/2020,22,5,2020,648,13,Argentina,AR,ARG,44780675,America,10.18296397
21/05/2020,21,5,2020,474,10,Argentina,AR,ARG,44780675,America,9.09990749
20/05/2020,20,5,2020,438,11,Argentina,AR,ARG,44780675,America,8.46123914
19/05/2020,19,5,2020,566,16,Argentina,AR,ARG,44780675,America,7.78014177
18/05/2020,18,5,2020,0,3,Argentina,AR,ARG,44780675,America,6.74844674
17/05/2020,17,5,2020,326,7,Argentina,AR,ARG,44780675,America,6.97622356
16/05/2020,16,5,2020,345,3,Argentina,AR,ARG,44780675,America,6.58096378
15/05/2020,15,5,2020,255,24,Argentina,AR,ARG,44780675,America,6.0427852
14/05/2020,14,5,2020,316,10,Argentina,AR,ARG,44780675,America,5.79267731
13/05/2020,13,5,2020,529,14,Argentina,AR,ARG,44780675,America,5.43984654
12/5/2020,12,5,2020,245,5,Argentina,AR,ARG,44780675,America,4.53543856
11/5/2020,11,5,2020,13,0,Argentina,AR,ARG,44780675,America,4.48631022
10/5/2020,10,5,2020,165,7,Argentina,AR,ARG,44780675,America,4.45727984
9/5/2020,9,5,2020,240,11,Argentina,AR,ARG,44780675,America,4.85700584
8/5/2020,8,5,2020,163,9,Argentina,AR,ARG,44780675,America,4.32106037
7/5/2020,7,5,2020,188,9,Argentina,AR,ARG,44780675,America,4.28533067
6/5/2020,6,5,2020,133,4,Argentina,AR,ARG,44780675,America,4.187074
5/5/2020,5,5,2020,104,14,Argentina,AR,ARG,44780675,America,4.14017877
4/5/2020,4,5,2020,102,9,Argentina,AR,ARG,44780675,America,4.10891529
3/5/2020,3,5,2020,149,12,Argentina,AR,ARG,44780675,America,4.10891529
2/5/2020,2,5,2020,104,7,Argentina,AR,ARG,44780675,America,4.15581051
1/5/2020,1,5,2020,143,4,Argentina,AR,ARG,44780675,America,4.14241188
30/04/2020,30,4,2020,158,7,Argentina,AR,ARG,44780675,America,4.10891529
29/04/2020,29,4,2020,124,10,Argentina,AR,ARG,44780675,America,3.75608452
28/04/2020,28,4,2020,223,11,Argentina,AR,ARG,44780675,America,3.83647634
27/04/2020,27,4,2020,0,1,Argentina,AR,ARG,44780675,America,3.49257799
26/04/2020,26,4,2020,344,18,Argentina,AR,ARG,44780675,America,3.639963
25/04/2020,25,4,2020,0,2,Argentina,AR,ARG,44780675,America,3.23353768
24/04/2020,24,4,2020,147,6,Argentina,AR,ARG,44780675,America,3.41441928
23/04/2020,23,4,2020,144,8,Argentina,AR,ARG,44780675,America,3.30723018
22/04/2020,22,4,2020,112,9,Argentina,AR,ARG,44780675,America,3.16431139
21/04/2020,21,4,2020,90,8,Argentina,AR,ARG,44780675,America,3.10848374
20/04/2020,20,4,2020,102,2,Argentina,AR,ARG,44780675,America,3.07275404
19/04/2020,19,4,2020,170,10,Argentina,AR,ARG,44780675,America,3.07498715
18/04/2020,18,4,2020,98,7,Argentina,AR,ARG,44780675,America,3.11071684
17/04/2020,17,4,2020,128,6,Argentina,AR,ARG,44780675,America,3.18664245
16/04/2020,16,4,2020,0,4,Argentina,AR,ARG,44780675,America,2.90080487
15/04/2020,15,4,2020,160,7,Argentina,AR,ARG,44780675,America,3.27373359
14/04/2020,14,4,2020,69,3,Argentina,AR,ARG,44780675,America,2.91643661
13/04/2020,13,4,2020,66,6,Argentina,AR,ARG,44780675,America,3.08838578
12/4/2020,12,4,2020,162,7,Argentina,AR,ARG,44780675,America,3.10848374
11/4/2020,11,4,2020,81,3,Argentina,AR,ARG,44780675,America,2.86954138
10/4/2020,10,4,2020,99,14,Argentina,AR,ARG,44780675,America,2.9142035
9/4/2020,9,4,2020,80,5,Argentina,AR,ARG,44780675,America,2.88740623
8/4/2020,8,4,2020,87,7,Argentina,AR,ARG,44780675,America,2.96556495
7/4/2020,7,4,2020,74,7,Argentina,AR,ARG,44780675,America,2.96333184
6/4/2020,6,4,2020,103,3,Argentina,AR,ARG,44780675,America,2.8762407
5/4/2020,5,4,2020,186,6,Argentina,AR,ARG,44780675,America,2.73778812
4/4/2020,4,4,2020,132,3,Argentina,AR,ARG,44780675,America,2.47204849
3/4/2020,3,4,2020,0,3,Argentina,AR,ARG,44780675,America,2.24427166
2/4/2020,2,4,2020,167,7,Argentina,AR,ARG,44780675,America,2.31349795
1/4/2020,1,4,2020,0,0,Argentina,AR,ARG,44780675,America,1.98076514
31/03/2020,31,3,2020,146,4,Argentina,AR,ARG,44780675,America,2.01202863
30/03/2020,30,3,2020,75,1,Argentina,AR,ARG,44780675,America,1.70609309
29/03/2020,29,3,2020,55,2,Argentina,AR,ARG,44780675,America,1.56317429
28/03/2020,28,3,2020,101,5,Argentina,AR,ARG,44780675,America,1.46491762
27/03/2020,27,3,2020,87,4,Argentina,AR,ARG,44780675,America,1.24607322
26/03/2020,26,3,2020,115,2,Argentina,AR,ARG,44780675,America,1.07859026
25/03/2020,25,3,2020,86,2,Argentina,AR,ARG,44780675,America,0.8374148
24/03/2020,24,3,2020,35,0,Argentina,AR,ARG,44780675,America,0.65206699
23/03/2020,23,3,2020,41,0,Argentina,AR,ARG,44780675,America,0.57614138
22/03/2020,22,3,2020,67,1,Argentina,AR,ARG,44780675,America,0.49798267
21/03/2020,21,3,2020,30,0,Argentina,AR,ARG,44780675,America,0.35059766
20/03/2020,20,3,2020,31,1,Argentina,AR,ARG,44780675,America,0.28583759
19/03/2020,19,3,2020,18,0,Argentina,AR,ARG,44780675,America,
18/03/2020,18,3,2020,14,0,Argentina,AR,ARG,44780675,America,
17/03/2020,17,3,2020,9,0,Argentina,AR,ARG,44780675,America,
16/03/2020,16,3,2020,11,0,Argentina,AR,ARG,44780675,America,
15/03/2020,15,3,2020,11,0,Argentina,AR,ARG,44780675,America,
14/03/2020,14,3,2020,3,1,Argentina,AR,ARG,44780675,America,
13/03/2020,13,3,2020,12,0,Argentina,AR,ARG,44780675,America,
11/3/2020,11,3,2020,7,0,Argentina,AR,ARG,44780675,America,
9/3/2020,9,3,2020,3,0,Argentina,AR,ARG,44780675,America,
8/3/2020,8,3,2020,1,1,Argentina,AR,ARG,44780675,America,
7/3/2020,7,3,2020,6,0,Argentina,AR,ARG,44780675,America,
6/3/2020,6,3,2020,1,0,Argentina,AR,ARG,44780675,America,
4/3/2020,4,3,2020,1,0,Argentina,AR,ARG,44780675,America,
31/08/2020,31,8,2020,9217,96,Argentina,AR,ARG,44780675,America,250.4182887
30/08/2020,30,8,2020,11730,176,Argentina,AR,ARG,44780675,America,244.7149356
29/08/2020,29,8,2020,10104,185,Argentina,AR,ARG,44780675,America,232.7343212
28/08/2020,28,8,2020,10550,283,Argentina,AR,ARG,44780675,America,226.9148466
27/08/2020,27,8,2020,8771,259,Argentina,AR,ARG,44780675,America,220.4678692
26/08/2020,26,8,2020,8713,323,Argentina,AR,ARG,44780675,America,216.6090618
25/08/2020,25,8,2020,5352,231,Argentina,AR,ARG,44780675,America,213.6077672
24/08/2020,24,8,2020,7759,53,Argentina,AR,ARG,44780675,America,212.1249847
23/08/2020,23,8,2020,8159,228,Argentina,AR,ARG,44780675,America,208.4961873
22/08/2020,22,8,2020,8225,161,Argentina,AR,ARG,44780675,America,206.9843744
21/08/2020,21,8,2020,6693,292,Argentina,AR,ARG,44780675,America,205.3944028
20/08/2020,20,8,2020,6840,237,Argentina,AR,ARG,44780675,America,206.408233
19/08/2020,19,8,2020,4557,127,Argentina,AR,ARG,44780675,America,206.3010439
18/08/2020,18,8,2020,5469,93,Argentina,AR,ARG,44780675,America,206.8972833
17/08/2020,17,8,2020,6663,92,Argentina,AR,ARG,44780675,America,206.6896044
16/08/2020,16,8,2020,6365,137,Argentina,AR,ARG,44780675,America,203.5141275
15/08/2020,15,8,2020,7498,182,Argentina,AR,ARG,44780675,America,202.5404932
14/08/2020,14,8,2020,7663,158,Argentina,AR,ARG,44780675,America,200.0371812
13/08/2020,13,8,2020,7043,303,Argentina,AR,ARG,44780675,America,195.5218406
12/8/2020,12,8,2020,7369,151,Argentina,AR,ARG,44780675,America,193.0564914
11/8/2020,11,8,2020,4688,78,Argentina,AR,ARG,44780675,America,187.5206213
10/8/2020,10,8,2020,6134,106,Argentina,AR,ARG,44780675,America,177.0518198
9/8/2020,9,8,2020,7482,159,Argentina,AR,ARG,44780675,America,183.4653006
8/8/2020,8,8,2020,7513,156,Argentina,AR,ARG,44780675,America,179.0236525
7/8/2020,7,8,2020,7147,126,Argentina,AR,ARG,44780675,America,175.9285674
6/8/2020,6,8,2020,6792,146,Argentina,AR,ARG,44780675,America,172.8803775
5/8/2020,5,8,2020,4824,196,Argentina,AR,ARG,44780675,America,169.6468399
4/8/2020,4,8,2020,5376,55,Argentina,AR,ARG,44780675,America,167.8491894
3/8/2020,3,8,2020,5241,54,Argentina,AR,ARG,44780675,America,165.2922829
2/8/2020,2,8,2020,5929,92,Argentina,AR,ARG,44780675,America,160.7858747
1/8/2020,1,8,2020,6377,155,Argentina,AR,ARG,44780675,America,157.634962
30/09/2020,30,9,2020,13477,406,Argentina,AR,ARG,44780675,America,382.2273782
29/09/2020,29,9,2020,11807,364,Argentina,AR,ARG,44780675,America,374.2574224
28/09/2020,28,9,2020,8841,206,Argentina,AR,ARG,44780675,America,368.1141475
27/09/2020,27,9,2020,11249,335,Argentina,AR,ARG,44780675,America,372.439674
26/09/2020,26,9,2020,12956,442,Argentina,AR,ARG,44780675,America,373.0113492
25/09/2020,25,9,2020,13467,390,Argentina,AR,ARG,44780675,America,370.6643547
24/09/2020,24,9,2020,12638,424,Argentina,AR,ARG,44780675,America,367.9667625
23/09/2020,23,9,2020,12027,470,Argentina,AR,ARG,44780675,America,366.6023346
22/09/2020,22,9,2020,17213,573,Argentina,AR,ARG,44780675,America,360.3228402
21/09/2020,21,9,2020,9276,204,Argentina,AR,ARG,44780675,America,337.4848637
20/09/2020,20,9,2020,11945,214,Argentina,AR,ARG,44780675,America,338.9319165
19/09/2020,19,9,2020,12701,262,Argentina,AR,ARG,44780675,America,336.1159697
18/09/2020,18,9,2020,11674,319,Argentina,AR,ARG,44780675,America,334.608623
17/09/2020,17,9,2020,11893,200,Argentina,AR,ARG,44780675,America,332.9538914
16/09/2020,16,9,2020,9908,298,Argentina,AR,ARG,44780675,America,329.852107
15/09/2020,15,9,2020,9056,105,Argentina,AR,ARG,44780675,America,328.5144764
14/09/2020,14,9,2020,10778,101,Argentina,AR,ARG,44780675,America,324.340801
13/09/2020,13,9,2020,11505,212,Argentina,AR,ARG,44780675,America,320.8549224
12/9/2020,12,9,2020,11905,281,Argentina,AR,ARG,44780675,America,321.3573712
11/9/2020,11,9,2020,12259,256,Argentina,AR,ARG,44780675,America,317.3355471
10/9/2020,10,9,2020,12027,278,Argentina,AR,ARG,44780675,America,313.5191687
9/9/2020,9,9,2020,9215,267,Argentina,AR,ARG,44780675,America,306.2481751
8/9/2020,8,9,2020,6986,105,Argentina,AR,ARG,44780675,America,305.1271559
7/9/2020,7,9,2020,9924,122,Argentina,AR,ARG,44780675,America,301.4782604
6/9/2020,6,9,2020,10684,217,Argentina,AR,ARG,44780675,America,296.6435857
5/9/2020,5,9,2020,12026,313,Argentina,AR,ARG,44780675,America,291.0049927
4/9/2020,4,9,2020,10933,184,Argentina,AR,ARG,44780675,America,282.5169563
3/9/2020,3,9,2020,10504,241,Argentina,AR,ARG,44780675,America,273.0485863
2/9/2020,2,9,2020,9309,232,Argentina,AR,ARG,44780675,America,264.8664854
1/9/2020,1,9,2020,7187,97,Argentina,AR,ARG,44780675,America,254.254765
31/10/2020,31,10,2020,13955,350,Argentina,AR,ARG,44780675,America,427.796142
30/10/2020,30,10,2020,12691,371,Argentina,AR,ARG,44780675,America,433.58212
29/10/2020,29,10,2020,13924,341,Argentina,AR,ARG,44780675,America,443.4189525
28/10/2020,28,10,2020,14308,429,Argentina,AR,ARG,44780675,America,445.6699235
27/10/2020,27,10,2020,11712,405,Argentina,AR,ARG,44780675,America,443.430118
26/10/2020,26,10,2020,9253,283,Argentina,AR,ARG,44780675,America,438.5440818
25/10/2020,25,10,2020,11968,275,Argentina,AR,ARG,44780675,America,440.904475
24/10/2020,24,10,2020,15718,381,Argentina,AR,ARG,44780675,America,441.9317038
23/10/2020,23,10,2020,16325,438,Argentina,AR,ARG,44780675,America,440.5494111
22/10/2020,22,10,2020,18326,419,Argentina,AR,ARG,44780675,America,438.6043757
21/10/2020,21,10,2020,16337,384,Argentina,AR,ARG,44780675,America,434.4083692
20/10/2020,20,10,2020,12982,449,Argentina,AR,ARG,44780675,America,430.8420987
19/10/2020,19,10,2020,10561,160,Argentina,AR,ARG,44780675,America,426.9564941
18/10/2020,18,10,2020,13510,384,Argentina,AR,ARG,44780675,America,420.496118
17/10/2020,17,10,2020,16546,381,Argentina,AR,ARG,44780675,America,415.1790923
16/10/2020,16,10,2020,17096,421,Argentina,AR,ARG,44780675,America,411.027748
15/10/2020,15,10,2020,14932,349,Argentina,AR,ARG,44780675,America,404.1162845
14/10/2020,14,10,2020,13305,386,Argentina,AR,ARG,44780675,America,402.9104072
13/10/2020,13,10,2020,9524,318,Argentina,AR,ARG,44780675,America,403.2945015
12/10/2020,12,10,2020,10310,287,Argentina,AR,ARG,44780675,America,408.3926828
11/10/2020,11,10,2020,12428,356,Argentina,AR,ARG,44780675,America,405.1122499
10/10/2020,10,10,2020,15099,515,Argentina,AR,ARG,44780675,America,402.4794177
9/10/2020,9,10,2020,15454,484,Argentina,AR,ARG,44780675,America,397.6938713
8/10/2020,8,10,2020,16447,399,Argentina,AR,ARG,44780675,America,393.2566894
7/10/2020,7,10,2020,14740,359,Argentina,AR,ARG,44780675,America,384.7507882
6/10/2020,6,10,2020,11242,450,Argentina,AR,ARG,44780675,America,378.6923712
5/10/2020,5,10,2020,7668,223,Argentina,AR,ARG,44780675,America,392.0262479
4/10/2020,4,10,2020,11129,196,Argentina,AR,ARG,44780675,America,395.6170826
3/10/2020,3,10,2020,14687,311,Argentina,AR,ARG,44780675,America,397.4392972
2/10/2020,2,10,2020,14001,3351,Argentina,AR,ARG,44780675,America,393.0043484
1/10/2020,1,10,2020,14392,418,Argentina,AR,ARG,44780675,America,387.8079104
30/11/2020,30,11,2020,5432,164,Argentina,AR,ARG,44780675,America,241.8855902
29/11/2020,29,11,2020,6098,106,Argentina,AR,ARG,44780675,America,242.3612418
28/11/2020,28,11,2020,7846,262,Argentina,AR,ARG,44780675,America,247.6537033
27/11/2020,27,11,2020,9043,240,Argentina,AR,ARG,44780675,America,256.6151582
26/11/2020,26,11,2020,8593,269,Argentina,AR,ARG,44780675,America,261.3471101
25/11/2020,25,11,2020,7434,310,Argentina,AR,ARG,44780675,America,266.4542238
24/11/2020,24,11,2020,3998,120,Argentina,AR,ARG,44780675,America,276.5969919
23/11/2020,23,11,2020,4181,100,Argentina,AR,ARG,44780675,America,286.2417773
22/11/2020,22,11,2020,7143,112,Argentina,AR,ARG,44780675,America,288.8098493
21/11/2020,21,11,2020,9592,258,Argentina,AR,ARG,44780675,America,290.8062462
20/11/2020,20,11,2020,10110,185,Argentina,AR,ARG,44780675,America,295.7056811
19/11/2020,19,11,2020,10332,241,Argentina,AR,ARG,44780675,America,297.9164562
18/11/2020,18,11,2020,10621,379,Argentina,AR,ARG,44780675,America,298.6310501
17/11/2020,17,11,2020,7895,291,Argentina,AR,ARG,44780675,America,302.0343039
16/11/2020,16,11,2020,5645,129,Argentina,AR,ARG,44780675,America,305.8372836
15/11/2020,15,11,2020,8468,262,Argentina,AR,ARG,44780675,America,307.9899979
14/11/2020,14,11,2020,11859,263,Argentina,AR,ARG,44780675,America,310.8416745
13/11/2020,13,11,2020,11162,251,Argentina,AR,ARG,44780675,America,315.5222649
12/11/2020,12,11,2020,10880,348,Argentina,AR,ARG,44780675,America,318.9366842
11/11/2020,11,11,2020,11976,276,Argentina,AR,ARG,44780675,America,325.7342593
10/11/2020,10,11,2020,8317,347,Argentina,AR,ARG,44780675,America,330.9418628
9/11/2020,9,11,2020,5331,212,Argentina,AR,ARG,44780675,America,338.5232581
8/11/2020,8,11,2020,8037,212,Argentina,AR,ARG,44780675,America,347.2815003
7/11/2020,7,11,2020,11786,370,Argentina,AR,ARG,44780675,America,356.0598406
6/11/2020,6,11,2020,11100,246,Argentina,AR,ARG,44780675,America,364.8404139
5/11/2020,5,11,2020,10652,468,Argentina,AR,ARG,44780675,America,376.5083934
4/11/2020,4,11,2020,12145,429,Argentina,AR,ARG,44780675,America,393.6452499
3/11/2020,3,11,2020,9598,483,Argentina,AR,ARG,44780675,America,403.0064308
2/11/2020,2,11,2020,6609,138,Argentina,AR,ARG,44780675,America,410.5632619
1/11/2020,1,11,2020,9745,210,Argentina,AR,ARG,44780675,America,419.3884974
14/12/2020,14,12,2020,3558,98,Argentina,AR,ARG,44780675,America,177.2327014
13/12/2020,13,12,2020,5274,62,Argentina,AR,ARG,44780675,America,181.4175423
12/12/2020,12,12,2020,7112,175,Argentina,AR,ARG,44780675,America,183.2576217
11/12/2020,11,12,2020,6994,209,Argentina,AR,ARG,44780675,America,184.8967216
10/12/2020,10,12,2020,5303,213,Argentina,AR,ARG,44780675,America,189.4723561
9/12/2020,9,12,2020,3610,121,Argentina,AR,ARG,44780675,America,196.8192753
8/12/2020,8,12,2020,3216,118,Argentina,AR,ARG,44780675,America,205.3586731
7/12/2020,7,12,2020,3278,138,Argentina,AR,ARG,44780675,America,207.1049621
6/12/2020,6,12,2020,5201,120,Argentina,AR,ARG,44780675,America,209.121457
5/12/2020,5,12,2020,6899,207,Argentina,AR,ARG,44780675,America,213.4581491
4/12/2020,4,12,2020,7625,149,Argentina,AR,ARG,44780675,America,219.4719039
3/12/2020,3,12,2020,7535,228,Argentina,AR,ARG,44780675,America,225.0211726
2/12/2020,2,12,2020,8037,198,Argentina,AR,ARG,44780675,America,231.2671705
1/12/2020,1,12,2020,5724,257,Argentina,AR,ARG,44780675,America,237.0375167
31/07/2020,31,7,2020,57837,1129,Brazil,BR,BRA,211049519,America,283.3226073
30/07/2020,30,7,2020,69074,1595,Brazil,BR,BRA,211049519,America,277.431099
29/07/2020,29,7,2020,40816,921,Brazil,BR,BRA,211049519,America,263.6191746
28/07/2020,28,7,2020,23284,614,Brazil,BR,BRA,211049519,America,264.1124238
27/07/2020,27,7,2020,24578,555,Brazil,BR,BRA,211049519,America,262.6919041
26/07/2020,26,7,2020,51147,1211,Brazil,BR,BRA,211049519,America,262.8117812
25/07/2020,25,7,2020,55891,1156,Brazil,BR,BRA,211049519,America,257.0671578
24/07/2020,24,7,2020,59961,1311,Brazil,BR,BRA,211049519,America,251.929501
23/07/2020,23,7,2020,67860,1284,Brazil,BR,BRA,211049519,America,243.7124721
22/07/2020,22,7,2020,41008,1367,Brazil,BR,BRA,211049519,America,232.677621
21/07/2020,21,7,2020,20257,632,Brazil,BR,BRA,211049519,America,234.7136361
20/07/2020,20,7,2020,23529,716,Brazil,BR,BRA,211049519,America,234.7003691
19/07/2020,19,7,2020,28532,921,Brazil,BR,BRA,211049519,America,235.8953493
18/07/2020,18,7,2020,34177,1163,Brazil,BR,BRA,211049519,America,240.3450159
17/07/2020,17,7,2020,45403,1322,Brazil,BR,BRA,211049519,America,244.1573913
16/07/2020,16,7,2020,39924,1233,Brazil,BR,BRA,211049519,America,245.4376596
15/07/2020,15,7,2020,41857,1300,Brazil,BR,BRA,211049519,America,248.6539664
14/07/2020,14,7,2020,20286,733,Brazil,BR,BRA,211049519,America,244.8581747
13/07/2020,13,7,2020,24831,631,Brazil,BR,BRA,211049519,America,246.6425901
12/7/2020,12,7,2020,39023,1071,Brazil,BR,BRA,211049519,America,249.3173178
11/7/2020,11,7,2020,45048,1214,Brazil,BR,BRA,211049519,America,249.1609564
10/7/2020,10,7,2020,42619,1220,Brazil,BR,BRA,211049519,America,250.0195227
9/7/2020,9,7,2020,44571,1223,Brazil,BR,BRA,211049519,America,248.5336155
8/7/2020,8,7,2020,45305,1254,Brazil,BR,BRA,211049519,America,247.6589392
7/7/2020,7,7,2020,20229,620,Brazil,BR,BRA,211049519,America,244.8780753
6/7/2020,6,7,2020,26051,602,Brazil,BR,BRA,211049519,America,245.4480837
5/7/2020,5,7,2020,37923,1091,Brazil,BR,BRA,211049519,America,241.3770012
4/7/2020,4,7,2020,42223,1290,Brazil,BR,BRA,211049519,America,239.8337615
3/7/2020,3,7,2020,48105,1252,Brazil,BR,BRA,211049519,America,245.7792856
2/7/2020,2,7,2020,46712,1038,Brazil,BR,BRA,211049519,America,233.7726247
1/7/2020,1,7,2020,33846,1280,Brazil,BR,BRA,211049519,America,226.8908275
30/06/2020,30,6,2020,24052,692,Brazil,BR,BRA,211049519,America,227.3987651
29/06/2020,29,6,2020,30476,552,Brazil,BR,BRA,211049519,America,225.7853997
28/06/2020,28,6,2020,38693,1109,Brazil,BR,BRA,211049519,America,219.4522888
27/06/2020,27,6,2020,46860,990,Brazil,BR,BRA,211049519,America,211.4025192
26/06/2020,26,6,2020,39483,1141,Brazil,BR,BRA,211049519,America,201.5100541
25/06/2020,25,6,2020,42725,1185,Brazil,BR,BRA,211049519,America,197.2120107
24/06/2020,24,6,2020,39436,1374,Brazil,BR,BRA,211049519,America,192.5628648
23/06/2020,23,6,2020,21432,654,Brazil,BR,BRA,211049519,America,189.0826389
22/06/2020,22,6,2020,17459,641,Brazil,BR,BRA,211049519,America,186.3448928
21/06/2020,21,6,2020,34666,1022,Brazil,BR,BRA,211049519,America,187.0376213
20/06/2020,20,6,2020,54771,1206,Brazil,BR,BRA,211049519,America,183.440835
